Name,Region_1depth_Name,Region_2depth_Name,Region_3depth_Name,Category,Latitude,Longitude
하서방 송천점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식 > 국수 > 칼국수,35.86737727,127.1146661
고래면옥 에코시티점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.87156562,127.1243942
십장생,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 갈비",35.86444042,127.1133642
랍스타하우스 본점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 양식 > 해산물 > 바닷가재,35.86947472,127.1235228
대한참치,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 일식 > 참치회,35.8655042,127.1168114
다미참치,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 일식 > 참치회,35.86515935,127.1155398
남다른감자탕 전주송천점,전북특별자치도,전주시 덕진구,송천동1가,음식점 > 한식 > 감자탕 > 남다른감자탕,35.86678237,127.1147361
계륵숯불닭갈비,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기 > 닭요리",35.86717851,127.1224607
바다횟집,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 해물,생선 > 회",35.86648669,127.1221275
솔가숯불갈비 송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기 > 갈비",35.86509015,127.1199331
와룡소바,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식 > 국수,35.86489513,127.1128555
지평선한돈 전주점,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기",35.86896532,127.1155586
샤브잇데이,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 샤브샤브,35.87162503,127.1244685
하누야,전북특별자치도,전주시 덕진구,송천동2가,"음식점 > 한식 > 육류,고기",35.87099779,127.1154109
맥도날드 전주송천DT점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 패스트푸드 > 맥도날드,35.86502321,127.1219714
현대옥 송천농수산시장점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 한식 > 국밥 > 전주현대옥,35.86804713,127.119065
장어명가청산 송천점,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 해물,생선 > 장어",35.86364867,127.1157192
소주한잔돼지,전북특별자치도,전주시 덕진구,송천동1가,"음식점 > 한식 > 육류,고기",35.8651704,127.1162241
아서원1920 전주본점,전북특별자치도,전주시 덕진구,송천동2가,음식점 > 중식 > 중국요리,35.86708992,127.1209437
