구별,위반일자,위반시간,위반장소,위반내용
덕진구,2023-01-10,,덕진구 금암2길 17 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 금암1길 21 앞 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-10,,덕진구 팔복동2가 828,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-09,,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-09,,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-09,,"덕진구 금암동 634-18, 전북대병원 주차장",휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-09,,완산구 미진빌라 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-09,,완산구 중산6길 18 부근,쓰레기혼합배출
완산구,2023-01-09,,완산구 중앙시장 부근,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-06,,덕진구 금암5길 24 옆 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-06,,덕진구 금암4길 14-8 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-06,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
완산구,2023-01-06,,완산구 새터로 117-2 부근,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 상리1길 34 인도변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 가재미로 86 도로변,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 동가재미1길 3 앞 공원(북가재미어린이공원),간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 서가재미3길 18-2,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 해찬빌 옆 전주중학교 담장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-05,,덕진구 팔복동 추천대교 진입 전,휴대하고 있는 폐기물(담배꽁초 등) 투기
완산구,2023-01-05,,완산구 새터로 117-2 부근,쓰레기혼합배출
덕진구,2023-01-04,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,덕진구 금암1길 28 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,덕진구 금암1길 21 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,덕진구 금암6길 37 앞 도로변 쓰레기적치장,간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,"덕진구 장동 1096, 나무공인중개사 앞",간이보관기구(비닐봉지) 이용 폐기물 투기
덕진구,2023-01-04,,덕진구 중동 840,휴대하고 있는 폐기물(담배꽁초 등) 투기
덕진구,2023-01-04,,덕진구 진북동 434-175,휴대하고 있는 폐기물(담배꽁초 등) 투기
