도로명 주소,지번 주소,위도,경도,주택유형구분,세대수(객실수),건축연도
전북특별자치도 전주시 완산구 서곡1길 16-9,전북특별자치도 전주시 완산구 효자동3가 1428-2,35.83622098,127.0998956,단독주택,10,2008-06-18
전북특별자치도 전주시 덕진구 안골6길 14,전북특별자치도 전주시 덕진구 우아동3가 757-1,35.84367742,127.1553343,다가구주택,11,2008-06-23
전북특별자치도 전주시 덕진구 가재미1길 14-5,전북특별자치도 전주시 덕진구 인후동1가 878-2,35.82841451,127.1607721,단독주택,19,2008-06-24
전북특별자치도 전주시 완산구 안터6길 39-1,전북특별자치도 전주시 완산구 서신동 809-2,35.83003673,127.1165981,단독주택,2,2008-06-25
전북특별자치도 전주시 완산구 메너머2길 26,전북특별자치도 전주시 완산구 중화산동2가 703-15,35.82250668,127.120023,단독주택,12,2008-06-25
전북특별자치도 전주시 완산구 꽃밭정1길 11,전북특별자치도 전주시 완산구 평화동1가 596-8,35.79720968,127.1333896,단독주택,9,2008-06-25
전북특별자치도 전주시 완산구 서곡6길 4-6,전북특별자치도 전주시 완산구 효자동3가 1419-4,35.83633799,127.1024357,단독주택,4,2008-06-25
전북특별자치도 전주시 완산구 서곡로 66,전북특별자치도 전주시 완산구 효자동3가 1436-10,35.83471067,127.1011741,단독주택,2,2008-06-25
전북특별자치도 전주시 덕진구 한배미6길 20-12,전북특별자치도 전주시 덕진구 인후동1가 954-9,35.82374416,127.1681715,다가구주택,17,2008-06-27
전북특별자치도 전주시 완산구 고사평5길 24-7,전북특별자치도 전주시 완산구 서신동 1012-6,35.83775909,127.1073933,단독주택,10,2008-06-30
전북특별자치도 전주시 완산구 고사평3길 13-7,전북특별자치도 전주시 완산구 서신동 945-1,35.83574568,127.1085026,단독주택,9,2008-06-30
전북특별자치도 전주시 완산구 범안3길 15-7,전북특별자치도 전주시 완산구 효자동2가 1166-18,35.81183821,127.106605,단독주택,10,2008-07-02
전북특별자치도 전주시 덕진구 석소1길 20,전북특별자치도 전주시 덕진구 우아동2가 872-1,35.83401395,127.1685916,단독주택,11,2008-07-03
전북특별자치도 전주시 완산구 중산1길 16-8,전북특별자치도 전주시 완산구 중화산동2가 619-8,35.81500679,127.118802,단독주택,10,2008-07-04
전북특별자치도 전주시 완산구 중산10길 12-3,전북특별자치도 전주시 완산구 중화산동2가 599-9,35.81839472,127.1215953,단독주택,11,2008-07-07
전북특별자치도 전주시 덕진구 가재미1길 16,전북특별자치도 전주시 덕진구 인후동1가 878-9,35.82825013,127.160896,단독주택,16,2008-07-08
전북특별자치도 전주시 완산구 메너머2길 19-7,전북특별자치도 전주시 완산구 중화산동2가 569-16,35.82171053,127.1208919,단독주택,9,2008-07-09
전북특별자치도 전주시 완산구 중산10길 14,전북특별자치도 전주시 완산구 중화산동2가 599-10,35.81857318,127.121584,단독주택,11,2008-07-10
전북특별자치도 전주시 덕진구 석소3길 22,전북특별자치도 전주시 덕진구 우아동2가 871-1,35.83483728,127.1699093,제2종근린생활시설,11,2008-07-11
전북특별자치도 전주시 완산구 서곡5길 13,전북특별자치도 전주시 완산구 효자동3가 1414-1,35.83728597,127.1014367,단독주택,2,2008-07-11
전북특별자치도 전주시 덕진구 명주2길 32,전북특별자치도 전주시 덕진구 인후동2가 1541-8,35.84210527,127.1470299,제2종근린생활시설(사무소),17,2008-07-14
